season_label,rat_minutes_mean,rat_minutes_sd,rat_minutes_n,rat_arr_mean,rat_arr_sd,rat_arr_n,bat_land_mean,bat_land_sd,bat_land_n
Spring,3.1045491469593824,8.642120783362625,1231,0.5962632006498781,1.064712187043148,1231,28.65800162469537,25.550094564666722,1231
Winter,0.46874999999886363,1.6707299965595113,880,0.23863636363636365,0.9187011430587882,880,36.757954545454545,24.90298455456481,880
