sstart_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,time,month,hours_after_sunset,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,csv_row_index,sort_date
27/01/2018 23:45,6,rat,27/01/2018 23:44,27/01/2018 23:50,49,1,0,1,27/01/2018 17:09,6.601388889,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,30,27/01/2018
27/01/2018 23:45,3,fast,27/01/2018 23:44,27/01/2018 23:50,68,0,1,1,27/01/2018 17:09,6.606666667,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,31,27/01/2018
27/01/2018 23:45,8,rat,27/01/2018 23:44,27/01/2018 23:50,84,1,0,1,27/01/2018 17:09,6.611111111,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,32,27/01/2018
27/01/2018 23:46,31,rat,27/01/2018 23:44,27/01/2018 23:50,122,1,0,1,27/01/2018 17:09,6.621666667,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,33,27/01/2018
27/01/2018 23:47,NaN,fast,27/01/2018 23:44,27/01/2018 23:50,186,0,1,1,27/01/2018 17:09,6.639444444,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,34,27/01/2018
27/01/2018 23:48,2,fast,27/01/2018 23:44,27/01/2018 23:50,231,0,1,1,27/01/2018 17:09,6.651944444,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,35,27/01/2018
27/01/2018 23:48,1,gaze,27/01/2018 23:44,27/01/2018 23:50,246,0,0,1,27/01/2018 17:09,6.656111111,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,36,27/01/2018
27/01/2018 23:48,9,pick,27/01/2018 23:44,27/01/2018 23:50,253,0,1,1,27/01/2018 17:09,6.658055556,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,37,27/01/2018
27/01/2018 23:50,6,pick,27/01/2018 23:44,27/01/2018 23:50,355,0,1,1,27/01/2018 17:09,6.686388889,Winter,27/01/2018 23:39,1,6.5,64,2.55,6.083333333,1,38,27/01/2018
28/01/2018 04:20,11,pick,28/01/2018 04:08,28/01/2018 04:20,742,0,1,1,27/01/2018 17:09,11.1975,Winter,28/01/2018 03:39,1,10.5,23,1,0.516666667,1,39,28/01/2018
01/01/2018 01:52,2,fast,01/01/2018 01:50,01/01/2018 01:55,115,0,1,1,31/12/2017 16:46,9.108333333,Winter,01/01/2018 01:46,1,9,18,1.92688172,4.933333333,1,40,01/01/2018
31/01/2018 19:44,3,rat,31/01/2018 19:41,31/01/2018 19:45,195,1,0,1,31/01/2018 17:13,2.522777778,Winter,31/01/2018 19:13,1,2,61,3.642857143,1.883333333,1,41,31/01/2018
31/01/2018 22:23,1,fast,31/01/2018 22:20,31/01/2018 22:24,168,0,1,1,31/01/2018 17:13,5.168333333,Winter,31/01/2018 22:13,1,5,80,2,4.466666667,1,42,31/01/2018
10/01/2018 23:34,4,nan,10/01/2018 23:32,10/01/2018 23:34,113,0,0,1,10/01/2018 16:54,6.673888889,Winter,10/01/2018 23:24,1,6.5,38,2,2.05,2,43,10/01/2018
10/01/2018 04:12,1,rat,10/01/2018 04:07,10/01/2018 04:15,306,1,0,1,09/01/2018 16:53,11.32222222,Winter,10/01/2018 03:53,1,11,18,2.851612903,8.566666667,1,44,10/01/2018
28/01/2018 19:56,1,fast,28/01/2018 19:56,28/01/2018 20:10,9,0,1,1,28/01/2018 17:10,2.770833333,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,45,28/01/2018
28/01/2018 20:03,1,rat,28/01/2018 19:56,28/01/2018 20:10,456,1,0,1,28/01/2018 17:10,2.895,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,46,28/01/2018
28/01/2018 20:04,NaN,rat,28/01/2018 19:56,28/01/2018 20:10,528,1,0,1,28/01/2018 17:10,2.915,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,47,28/01/2018
28/01/2018 20:05,1,rat,28/01/2018 19:56,28/01/2018 20:10,534,1,0,1,28/01/2018 17:10,2.916666667,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,48,28/01/2018
28/01/2018 20:05,7,pick_rat,28/01/2018 19:56,28/01/2018 20:10,545,1,1,1,28/01/2018 17:10,2.919722222,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,49,28/01/2018
28/01/2018 20:05,1,fast,28/01/2018 19:56,28/01/2018 20:10,551,0,1,1,28/01/2018 17:10,2.921388889,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,50,28/01/2018
28/01/2018 20:05,NaN,fast,28/01/2018 19:56,28/01/2018 20:10,569,0,1,1,28/01/2018 17:10,2.926388889,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,51,28/01/2018
28/01/2018 20:05,1,rat,28/01/2018 19:56,28/01/2018 20:10,583,1,0,1,28/01/2018 17:10,2.930277778,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,52,28/01/2018
28/01/2018 20:05,1,fast,28/01/2018 19:56,28/01/2018 20:10,589,0,1,1,28/01/2018 17:10,2.931944444,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,53,28/01/2018
28/01/2018 20:06,2,fast,28/01/2018 19:56,28/01/2018 20:10,627,0,1,1,28/01/2018 17:10,2.9425,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,54,28/01/2018
28/01/2018 20:06,1,fast,28/01/2018 19:56,28/01/2018 20:10,631,0,1,1,28/01/2018 17:10,2.943611111,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,55,28/01/2018
28/01/2018 20:06,4,fast,28/01/2018 19:56,28/01/2018 20:10,642,0,1,1,28/01/2018 17:10,2.946666667,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,56,28/01/2018
28/01/2018 20:08,4,pick,28/01/2018 19:56,28/01/2018 20:10,720,0,1,1,28/01/2018 17:10,2.968333333,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,57,28/01/2018
28/01/2018 20:09,3,rat,28/01/2018 19:56,28/01/2018 20:10,824,1,0,1,28/01/2018 17:10,2.997222222,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,58,28/01/2018
29/01/2018 01:32,22,pick,29/01/2018 01:29,29/01/2018 01:33,225,0,1,1,28/01/2018 17:10,8.381666667,Winter,29/01/2018 01:10,1,8,51,1.609375,4.45,1,59,29/01/2018
28/01/2018 19:58,1,rat,28/01/2018 19:56,28/01/2018 20:10,162,1,0,1,28/01/2018 17:10,2.813333333,Winter,28/01/2018 19:40,1,2.5,40,3.970430108,13.9,1,60,28/01/2018
20/02/2018 01:49,2,rat,20/02/2018 01:47,20/02/2018 01:50,151,1,0,2,19/02/2018 17:30,8.333055556,Winter,20/02/2018 01:30,2,8,36,2,3.166666667,1,61,20/02/2018
20/02/2018 03:10,1,rat,20/02/2018 03:10,20/02/2018 03:11,17,1,0,2,19/02/2018 17:30,9.676111111,Winter,20/02/2018 03:00,2,9.5,30,1.822307272,1.55,1,62,20/02/2018
20/02/2018 02:12,3,bat,20/02/2018 02:10,20/02/2018 02:13,116,1,0,2,19/02/2018 17:30,8.713055556,Winter,20/02/2018 02:00,2,8.5,46,2,0.416666667,2,63,20/02/2018
10/02/2018 00:43,4,rat,10/02/2018 00:43,10/02/2018 00:45,22,1,0,2,09/02/2018 17:21,7.375277778,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,64,10/02/2018
10/02/2018 00:44,3,fast,10/02/2018 00:43,10/02/2018 00:45,96,0,1,2,09/02/2018 17:21,7.395833333,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,65,10/02/2018
10/02/2018 00:49,NaN,fast,10/02/2018 00:49,10/02/2018 00:51,18,0,1,2,09/02/2018 17:21,7.471944444,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,66,10/02/2018
10/02/2018 00:49,2,rat,10/02/2018 00:49,10/02/2018 00:51,56,1,0,2,09/02/2018 17:21,7.4825,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,67,10/02/2018
10/02/2018 00:50,NaN,fast,10/02/2018 00:49,10/02/2018 00:51,65,0,1,2,09/02/2018 17:21,7.485,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,68,10/02/2018
10/02/2018 00:50,NaN,rat,10/02/2018 00:49,10/02/2018 00:51,81,1,0,2,09/02/2018 17:21,7.489444444,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,69,10/02/2018
10/02/2018 00:50,20,both,10/02/2018 00:49,10/02/2018 00:51,102,0,0,2,09/02/2018 17:21,7.495277778,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,70,10/02/2018
10/02/2018 00:51,2,rat,10/02/2018 00:49,10/02/2018 00:51,149,1,0,2,09/02/2018 17:21,7.508333333,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,71,10/02/2018
10/02/2018 00:44,7,bat,10/02/2018 00:43,10/02/2018 00:45,61,1,0,2,09/02/2018 17:21,7.386111111,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,72,10/02/2018
10/02/2018 00:44,21,pick_bat,10/02/2018 00:43,10/02/2018 00:45,65,1,1,2,09/02/2018 17:21,7.387222222,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,73,10/02/2018
10/02/2018 00:44,4,pick,10/02/2018 00:43,10/02/2018 00:45,68,0,1,2,09/02/2018 17:21,7.388055556,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,74,10/02/2018
10/02/2018 00:44,2,pick,10/02/2018 00:43,10/02/2018 00:45,80,0,1,2,09/02/2018 17:21,7.391388889,Winter,10/02/2018 00:21,2,7,83,1.421052632,4.1,3,75,10/02/2018
07/02/2018 18:11,7,"94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3",07/02/2018 18:11,07/02/2018 18:11,10,0,0,2,07/02/2018 17:19,0.8775,Winter,07/02/2018 17:49,2,0.5,53,4,0.25,1,76,07/02/2018
07/02/2018 18:32,1,rat,07/02/2018 18:29,07/02/2018 18:44,166,1,0,2,07/02/2018 17:19,1.225277778,Winter,07/02/2018 18:19,2,1,29,4,10.48333333,5,77,07/02/2018
07/02/2018 22:58,14,pick,07/02/2018 22:53,07/02/2018 22:58,299,0,1,2,07/02/2018 17:19,5.661944444,Winter,07/02/2018 22:49,2,5.5,65,2.050611791,2.433333333,2,78,07/02/2018
08/02/2018 01:47,8,rat attack,08/02/2018 01:47,08/02/2018 01:48,7,1,0,2,07/02/2018 17:19,8.481666667,Winter,08/02/2018 01:19,2,8,49,1.456140351,0.25,1,79,08/02/2018
08/02/2018 01:52,1,fast,08/02/2018 01:52,08/02/2018 01:52,2,0,1,2,07/02/2018 17:19,8.554722222,Winter,08/02/2018 01:49,2,8.5,53,1.037351443,4.166666667,2,80,08/02/2018
08/02/2018 02:06,6,rat,08/02/2018 02:05,08/02/2018 02:09,74,1,0,2,07/02/2018 17:19,8.796944444,Winter,08/02/2018 01:49,2,8.5,53,1.037351443,4.166666667,2,81,08/02/2018
08/02/2018 02:06,1,rat,08/02/2018 02:05,08/02/2018 02:09,80,1,0,2,07/02/2018 17:19,8.798611111,Winter,08/02/2018 01:49,2,8.5,53,1.037351443,4.166666667,2,82,08/02/2018
08/02/2018 02:07,7,rat,08/02/2018 02:05,08/02/2018 02:09,99,1,0,2,07/02/2018 17:19,8.803888889,Winter,08/02/2018 01:49,2,8.5,53,1.037351443,4.166666667,2,83,08/02/2018
08/02/2018 02:07,4,rat,08/02/2018 02:05,08/02/2018 02:09,116,1,0,2,07/02/2018 17:19,8.808611111,Winter,08/02/2018 01:49,2,8.5,53,1.037351443,4.166666667,2,84,08/02/2018
08/02/2018 02:08,4,rat,08/02/2018 02:05,08/02/2018 02:09,200,1,0,2,07/02/2018 17:19,8.831944444,Winter,08/02/2018 01:49,2,8.5,53,1.037351443,4.166666667,2,85,08/02/2018
08/02/2018 03:41,NaN,rat,08/02/2018 03:41,08/02/2018 03:45,27,1,0,2,07/02/2018 17:19,10.37444444,Winter,08/02/2018 03:19,2,10,14,0,4.216666667,1,86,08/02/2018
02/02/2018 00:43,2,fast,02/02/2018 00:40,02/02/2018 00:44,184,0,1,2,01/02/2018 17:14,7.489722222,Winter,02/02/2018 00:14,2,7,57,1.524590164,3.683333333,1,87,02/02/2018
02/02/2018 00:44,1,rat,02/02/2018 00:40,02/02/2018 00:44,239,1,0,2,01/02/2018 17:14,7.505,Winter,02/02/2018 00:14,2,7,57,1.524590164,3.683333333,1,88,02/02/2018
09/02/2018 00:06,3,fast,09/02/2018 00:06,09/02/2018 00:06,2,0,1,2,08/02/2018 17:20,6.767222222,Winter,08/02/2018 23:50,2,6.5,38,2.029569892,1,4,89,09/02/2018
09/02/2018 00:11,1,rat,09/02/2018 00:09,09/02/2018 00:13,135,1,0,2,08/02/2018 17:20,6.862222222,Winter,08/02/2018 23:50,2,6.5,38,2.029569892,1,4,90,09/02/2018
09/02/2018 00:26,17,pick,09/02/2018 00:26,09/02/2018 00:32,2,0,1,2,08/02/2018 17:20,7.114722222,Winter,09/02/2018 00:20,2,7,46,2,1.133333333,2,91,09/02/2018
09/02/2018 00:29,1,rat,09/02/2018 00:26,09/02/2018 00:32,154,1,0,2,08/02/2018 17:20,7.156944444,Winter,09/02/2018 00:20,2,7,46,2,1.133333333,2,92,09/02/2018
09/02/2018 03:31,1,rat,09/02/2018 03:28,09/02/2018 03:33,146,1,0,2,08/02/2018 17:20,10.18444444,Winter,09/02/2018 03:20,2,10,22,1,4.733333333,1,93,09/02/2018
09/02/2018 03:32,21,rat,09/02/2018 03:28,09/02/2018 03:33,211,1,0,2,08/02/2018 17:20,10.2025,Winter,09/02/2018 03:20,2,10,22,1,4.733333333,1,94,09/02/2018
09/02/2018 03:32,9,pick,09/02/2018 03:28,09/02/2018 03:33,246,0,1,2,08/02/2018 17:20,10.21222222,Winter,09/02/2018 03:20,2,10,22,1,4.733333333,1,95,09/02/2018
13/02/2018 03:44,1,rat,13/02/2018 03:43,13/02/2018 03:45,77,1,0,2,12/02/2018 17:24,10.34222222,Winter,13/02/2018 03:24,2,10,15,1,3.35,2,96,13/02/2018
13/02/2018 03:50,3,fast,13/02/2018 03:49,13/02/2018 03:50,59,0,1,2,12/02/2018 17:24,10.435,Winter,13/02/2018 03:24,2,10,15,1,3.35,2,97,13/02/2018
14/02/2018 22:05,1,rat,14/02/2018 22:04,14/02/2018 22:12,89,1,0,2,14/02/2018 17:26,4.659166667,Winter,14/02/2018 21:56,2,4.5,86,2.01843318,5.133333333,4,98,14/02/2018
14/02/2018 22:08,2,rat,14/02/2018 22:04,14/02/2018 22:12,259,1,0,2,14/02/2018 17:26,4.706388889,Winter,14/02/2018 21:56,2,4.5,86,2.01843318,5.133333333,4,99,14/02/2018
14/02/2018 22:11,4,rat,14/02/2018 22:04,14/02/2018 22:12,470,1,0,2,14/02/2018 17:26,4.765,Winter,14/02/2018 21:56,2,4.5,86,2.01843318,5.133333333,4,100,14/02/2018
14/02/2018 22:46,2,rat,14/02/2018 22:43,14/02/2018 22:52,187,1,0,2,14/02/2018 17:26,5.341666667,Winter,14/02/2018 22:26,2,5,103,2,3.3,6,101,14/02/2018
14/02/2018 22:46,1,rat,14/02/2018 22:43,14/02/2018 22:52,204,1,0,2,14/02/2018 17:26,5.346388889,Winter,14/02/2018 22:26,2,5,103,2,3.3,6,102,14/02/2018
14/02/2018 22:50,2,rat,14/02/2018 22:43,14/02/2018 22:52,420,1,0,2,14/02/2018 17:26,5.406388889,Winter,14/02/2018 22:26,2,5,103,2,3.3,6,103,14/02/2018
14/02/2018 22:50,9,rat,14/02/2018 22:43,14/02/2018 22:52,434,1,0,2,14/02/2018 17:26,5.410277778,Winter,14/02/2018 22:26,2,5,103,2,3.3,6,104,14/02/2018
14/02/2018 22:51,NaN,rat,14/02/2018 22:43,14/02/2018 22:52,512,1,0,2,14/02/2018 17:26,5.431944444,Winter,14/02/2018 22:26,2,5,103,2,3.3,6,105,14/02/2018
14/02/2018 22:52,1,rat,14/02/2018 22:43,14/02/2018 22:52,518,1,0,2,14/02/2018 17:26,5.433611111,Winter,14/02/2018 22:26,2,5,103,2,3.3,6,106,14/02/2018
14/02/2018 03:11,31,pick,14/02/2018 03:02,14/02/2018 03:11,499,0,1,2,13/02/2018 17:25,9.771666667,Winter,14/02/2018 02:55,2,9.5,14,1,8.583333333,1,107,14/02/2018
14/02/2018 05:30,1,rat,14/02/2018 05:26,14/02/2018 05:34,225,1,0,2,13/02/2018 17:25,12.09194444,Winter,14/02/2018 05:25,2,12,12,0,8.033333333,1,108,14/02/2018
15/02/2018 18:21,NaN,fast,15/02/2018 18:20,15/02/2018 18:28,54,0,1,2,15/02/2018 17:26,0.9225,Winter,15/02/2018 17:56,2,0.5,9,4,5.55,1,109,15/02/2018
15/02/2018 19:31,1,fast,15/02/2018 19:30,15/02/2018 19:31,30,0,1,2,15/02/2018 17:26,2.085833333,Winter,15/02/2018 19:26,2,2,51,3.322033898,1.266666667,1,110,15/02/2018
15/02/2018 19:31,NaN,attack_rat,15/02/2018 19:30,15/02/2018 19:31,71,1,0,2,15/02/2018 17:26,2.097222222,Winter,15/02/2018 19:26,2,2,51,3.322033898,1.266666667,1,111,15/02/2018
15/02/2018 18:52,6,bat,15/02/2018 18:49,15/02/2018 18:55,179,1,0,2,15/02/2018 17:26,1.440277778,Winter,15/02/2018 18:26,2,1,29,4,7.833333333,5,112,15/02/2018
15/02/2018 18:52,6,pick,15/02/2018 18:49,15/02/2018 18:55,201,0,1,2,15/02/2018 17:26,1.446388889,Winter,15/02/2018 18:26,2,1,29,4,7.833333333,5,113,15/02/2018
15/02/2018 18:54,1,rat,15/02/2018 18:49,15/02/2018 18:55,321,1,0,2,15/02/2018 17:26,1.479722222,Winter,15/02/2018 18:26,2,1,29,4,7.833333333,5,114,15/02/2018
04/02/2018 18:33,3,bat_and_rat,04/02/2018 18:32,04/02/2018 18:50,77,1,0,2,04/02/2018 17:17,1.274722222,Winter,04/02/2018 18:17,2,1,39,4,2.3,17,115,04/02/2018
04/02/2018 18:32,155,nan,04/02/2018 18:32,04/02/2018 18:50,42,0,0,2,04/02/2018 17:17,1.265,Winter,04/02/2018 18:17,2,1,39,4,2.3,17,116,04/02/2018
04/02/2018 18:46,1,nan,04/02/2018 18:32,04/02/2018 18:50,856,0,0,2,04/02/2018 17:17,1.491111111,Winter,04/02/2018 18:17,2,1,39,4,2.3,17,117,04/02/2018
04/02/2018 18:47,1,nan,04/02/2018 18:32,04/02/2018 18:50,933,0,0,2,04/02/2018 17:17,1.5125,Winter,04/02/2018 18:17,2,1,39,4,2.3,17,118,04/02/2018
03/02/2018 17:51,29,rat,03/02/2018 17:51,03/02/2018 17:51,22,1,0,2,03/02/2018 17:16,0.592777778,Winter,03/02/2018 17:46,2,0.5,34,3.949388209,0.666666667,1,119,03/02/2018
02/02/2018 18:30,4,rat,02/02/2018 18:30,02/02/2018 18:30,3,1,0,2,02/02/2018 17:15,1.260555556,Winter,02/02/2018 18:15,2,1,46,4,0.133333333,1,120,02/02/2018
05/02/2018 23:22,1,nan,05/02/2018 23:21,05/02/2018 23:26,77,0,0,2,05/02/2018 17:18,6.072222222,Winter,05/02/2018 23:18,2,6,104,1.466666667,1.3,8,121,05/02/2018
05/02/2018 23:22,1,nan,05/02/2018 23:21,05/02/2018 23:26,110,0,0,2,05/02/2018 17:18,6.081388889,Winter,05/02/2018 23:18,2,6,104,1.466666667,1.3,8,122,05/02/2018
